1.020381000000000071e+01,5.614181349999999782e+01,1.241537700000000000e+08
1.020390489999999950e+01,5.614139980000000207e+01,1.241542030000000000e+08
1.020748900000000070e+01,5.614273440000000193e+01,1.954391630000000000e+08
1.020764059999999951e+01,5.614262409999999903e+01,2.486162400000000000e+08
1.020514400000000066e+01,5.614123599999999925e+01,3.419830520000000000e+08
1.020563399999999987e+01,5.614119500000000329e+01,3.419830530000000000e+08
1.020605800000000052e+01,5.614111900000000333e+01,3.419830540000000000e+08
1.020520199999999988e+01,5.614286599999999794e+01,3.419852490000000000e+08
1.020501299999999922e+01,5.614282299999999992e+01,3.419852510000000000e+08
1.020481099999999941e+01,5.614279400000000209e+01,3.419852530000000000e+08
1.020465699999999920e+01,5.614276799999999668e+01,3.419852550000000000e+08
1.020372200000000085e+01,5.614267900000000111e+01,3.419852570000000000e+08
1.020342899999999986e+01,5.614267199999999747e+01,3.419852590000000000e+08
1.020319600000000015e+01,5.614264800000000122e+01,3.419852610000000000e+08
1.020294699999999999e+01,5.614258699999999891e+01,3.419852650000000000e+08
1.020354500000000009e+01,5.614296800000000331e+01,3.419852730000000000e+08
1.020329100000000011e+01,5.614294300000000248e+01,3.419852750000000000e+08
1.020305899999999966e+01,5.614291899999999913e+01,3.419852770000000000e+08
1.020294600000000074e+01,5.614232200000000006e+01,3.419968630000000000e+08
1.020312999999999981e+01,5.614215899999999948e+01,3.419968640000000000e+08
1.020325599999999966e+01,5.614116500000000087e+01,3.419968650000000000e+08
1.020338800000000035e+01,5.614101500000000300e+01,3.419968670000000000e+08
1.020369200000000021e+01,5.614077799999999741e+01,3.419968680000000000e+08
1.020439999999999969e+01,5.614126999999999867e+01,3.419968690000000000e+08
1.020477999999999952e+01,5.614106400000000008e+01,3.419968710000000000e+08
1.020513099999999973e+01,5.614089899999999744e+01,3.419968730000000000e+08
1.020521300000000053e+01,5.614068699999999978e+01,3.419968750000000000e+08
1.020540800000000026e+01,5.614289999999999736e+01,3.420128590000000000e+08
1.020544199999999968e+01,5.614276100000000014e+01,3.420128600000000000e+08
1.020548400000000022e+01,5.614259899999999703e+01,3.420128610000000000e+08
1.020552200000000020e+01,5.614244099999999804e+01,3.420128620000000000e+08
1.020364799999999939e+01,5.614233300000000071e+01,3.420131240000000000e+08
1.020440199999999997e+01,5.614269900000000035e+01,3.420131320000000000e+08
