Timestamp,x,y,th
1639737951.99294,-26.2573261260986,-9.2681188583374,1.03400003910065
1639737951.20029,-26.2573261260986,-9.2681188583374,1.03400003910065
1639737951.29929,-26.2573261260986,-9.2681188583374,1.03400003910065
1639737951.40029,-26.254280090332,-9.26305389404297,1.03199994564056
1639737951.49929,-26.252067565918,-9.25937366485596,1.03100001811981
1639737951.59929,-26.2493343353271,-9.25482749938965,1.03100001811981
1639737951.69929,-26.2467823028564,-9.25058460235596,1.02900004386902
1639737951.80029,-26.2416286468506,-9.24206447601318,1.02600002288818
1639737951.89929,-26.2362041473389,-9.23324298858643,1.02300000190735
1639737951.99929,-26.2297992706299,-9.22282981872559,1.01999998092651
1639737952.99294,-26.2212467193604,-9.20892333984375,1.01800000667572
1639737952.20129,-26.2088756561279,-9.18925189971924,1.01600003242493
1639737952.30029,-26.1924705505371,-9.16316509246826,1.01600003242493
1639737952.40029,-26.1721668243408,-9.13087749481201,1.01999998092651
1639737952.49929,-26.1490631103516,-9.09331130981445,1.02400004863739
1639737952.59929,-26.1238861083984,-9.0523738861084,1.02900004386902
1639737952.70029,-26.0976753234863,-9.00904655456543,1.03799998760223
1639737952.80029,-26.0721893310547,-8.96666240692139,1.05299997329712
1639737952.89929,-26.0460453033447,-8.92114925384521,1.06700003147125
1639737953.29424,-26.0201358795166,-8.87498092651367,1.08700001239777
1639737953.99294,-25.9952182769775,-8.82842445373535,1.11099994182587
1639737953.20029,-25.9723453521729,-8.7824239730835,1.13900005817413
1639737953.29929,-25.950891494751,-8.73702526092529,1.16299998760223
1639737953.40129,-25.9312839508057,-8.6920919418335,1.19099998474121
1639737953.49929,-25.9138317108154,-8.64858531951904,1.21700000762939
1639737953.60029,-25.8978061676025,-8.60620307922363,1.24100005626678
1639737953.70029,-25.8836345672607,-8.56503200531006,1.26199996471405
1639737953.79929,-25.870719909668,-8.52492427825928,1.27999997138977
1639737953.90129,-25.8591785430908,-8.48646259307861,1.29299998283386
1639737954.29424,-25.8482608795166,-8.44871234893799,1.29900002479553
1639737954.99294,-25.8380603790283,-8.41217517852783,1.30599999427795
1639737954.19929,-25.8279914855957,-8.37600708007812,1.307000041008
1639737954.29929,-25.8181972503662,-8.3408260345459,1.30299997329712
1639737954.39929,-25.8082122802734,-8.30496406555176,1.30200004577637
1639737954.50029,-25.7976093292236,-8.26687908172607,1.29999995231628
