WKT,building
"MULTIPOLYGON (((10.2055144 56.1405318,10.2055488 56.1405456,10.2055785 56.1405224,10.2055438 56.1405086,10.2055656 56.1404916,10.2054481 56.1404448,10.205499 56.1404051,10.2054879 56.1404007,10.2055136 56.1403807,10.2053783 56.1403267,10.2053169 56.1403745,10.2053748 56.1403976,10.2052693 56.1404797,10.2053339 56.1405055,10.2053118 56.1405227,10.2054378 56.140573,10.2054511 56.1405626,10.2054668 56.1405689,10.2055144 56.1405318)))",yes
"MULTIPOLYGON (((10.2052466 56.1405269,10.2051663 56.140493,10.2051067 56.1405369,10.205174 56.1405652,10.2052042 56.140543,10.2052172 56.1405485,10.2052466 56.1405269)))",yes
"MULTIPOLYGON (((10.2052922 56.1407801,10.2053487 56.1407354,10.2052987 56.1407158,10.2053399 56.1406832,10.205123 56.140598,10.2050378 56.1406653,10.2051782 56.1407205,10.2051656 56.1407304,10.2052922 56.1407801)))",yes
"MULTIPOLYGON (((10.2052183 56.1410073,10.2052592 56.1409742,10.2052055 56.1409536,10.2052615 56.1409081,10.2051894 56.1408805,10.2052399 56.1408395,10.2051351 56.1407994,10.2050091 56.1409015,10.205056 56.1409194,10.2050449 56.1409284,10.2051158 56.1409556,10.205125 56.1409481,10.2051929 56.1409741,10.2051732 56.1409901,10.2052183 56.1410073)))",yes
"MULTIPOLYGON (((10.2048757 56.1408417,10.2047773 56.1408023,10.2047387 56.1408323,10.2048371 56.1408717,10.2048757 56.1408417)))",yes
"MULTIPOLYGON (((10.2046204 56.1410186,10.204673 56.1409765,10.2045937 56.1409457,10.204541 56.1409878,10.2046204 56.1410186)))",yes
"MULTIPOLYGON (((10.2048746 56.1413135,10.2048585 56.1412676,10.2045822 56.141296,10.2044796 56.141219,10.2044387 56.1412332,10.2043891 56.1411962,10.2044897 56.1411129,10.2045091 56.1411185,10.2045735 56.1410643,10.2044877 56.1410315,10.2042738 56.1412029,10.2043207 56.141222,10.2042778 56.1412399,10.2044099 56.1413445,10.2044796 56.1413188,10.2044977 56.1413565,10.2048746 56.1413135)))",yes
"MULTIPOLYGON (((10.2089934 56.1404238,10.2090299 56.1404742,10.2091969 56.1404366,10.2091604 56.1403863,10.2089934 56.1404238)))",yes
"MULTIPOLYGON (((10.2050121 56.1403949,10.2048292 56.1405444,10.2045955 56.1404556,10.2047784 56.1403061,10.2050121 56.1403949)))",
"MULTIPOLYGON (((10.2048292 56.1405444,10.2040471 56.1411585,10.2039351 56.141262,10.2038801 56.1413371,10.2038272 56.1414308,10.2037554 56.1414151,10.2038071 56.1412859,10.2038721 56.1411828,10.2039801 56.1410374,10.2041269 56.1408753,10.2045955 56.1404556,10.2048292 56.1405444)))",
"MULTIPOLYGON (((10.2050121 56.1403949,10.2058777 56.1397126,10.2058938 56.1396656,10.2056759 56.1395822,10.2056209 56.1395781,10.2047784 56.1403061,10.2050121 56.1403949)))",
"MULTIPOLYGON (((10.2099936 56.1413117,10.2102403 56.1412489,10.2101812 56.1411767,10.2099344 56.1412395,10.2099936 56.1413117)))",yes
"MULTIPOLYGON (((10.2112978 56.1402754,10.2124927 56.1399886,10.2121095 56.1394931,10.2109147 56.1397798,10.2112978 56.1402754)))",
"MULTIPOLYGON (((10.2040082 56.1419468,10.2041531 56.1418769,10.2040934 56.141853,10.2040592 56.1418463,10.2040163 56.1418515,10.2039881 56.1418687,10.2039807 56.1418885,10.2039861 56.141909,10.2040082 56.1419468)))",
