WKT,building
"MULTIPOLYGON (((10.2059457 56.1431553,10.20576 56.1431394,10.2059344 56.1425092,10.2061201 56.1425251,10.2059457 56.1431553)))",yes
"MULTIPOLYGON (((10.2063116 56.1433121,10.2061517 56.1432603,10.2066272 56.1428053,10.2067871 56.1428572,10.2063116 56.1433121)))",yes
"MULTIPOLYGON (((10.2072296 56.1434157,10.2070657 56.1433594,10.2072172 56.1432224,10.2073812 56.1432786,10.2072296 56.1434157)))",yes
"MULTIPOLYGON (((10.2069016 56.1432353,10.2067285 56.1431754,10.2069237 56.1430004,10.2070968 56.1430603,10.2069016 56.1432353)))",yes
"MULTIPOLYGON (((10.2048946 56.1443094,10.2054064 56.1442871,10.2054443 56.1442598,10.2054599 56.1440602,10.2054732 56.1440466,10.2054621 56.1440156,10.205451 56.1440019,10.205471 56.1437601,10.2055177 56.1432332,10.2054688 56.1432047,10.2052484 56.1431402,10.2044828 56.1429976,10.2044049 56.1430038,10.2043649 56.1430348,10.2043649 56.1430608,10.2044228 56.1433708,10.2045029 56.1438407,10.2045251 56.1440825,10.2045318 56.1443094,10.2045785 56.1443243,10.2048456 56.1443106,10.2048768 56.14424,10.2048656 56.1442102,10.204721 56.1442077,10.204721 56.1441172,10.2047455 56.1440961,10.2047143 56.144085,10.2047121 56.1440366,10.204741 56.144028,10.2047188 56.1440032,10.2047076 56.1439523,10.2047054 56.1438097,10.2047455 56.1438048,10.2047455 56.1437639,10.2046898 56.1437663,10.2046698 56.1435605,10.2046943 56.1435543,10.2046831 56.1435047,10.2046475 56.1434998,10.204603 56.1433113,10.204583 56.1432344,10.2046052 56.1432319,10.2046008 56.1431935,10.2045785 56.1431836,10.2045652 56.1431104,10.2053063 56.1432667,10.2053041 56.1433894,10.2052818 56.1433969,10.2052729 56.1435196,10.2052885 56.1435444,10.2052729 56.1437341,10.2052707 56.1438395,10.2052373 56.1438556,10.2052373 56.1439957,10.2052573 56.1440131,10.2052551 56.14408,10.2052217 56.1440937,10.2052551 56.1441209,10.2052462 56.1442003,10.2049992 56.1442028,10.2048946 56.1442115,10.2048901 56.1442635,10.2048946 56.1443094)))",apartments
"MULTIPOLYGON (((10.2097785 56.1405295,10.2103955 56.1403756,10.2102913 56.140246,10.2102784 56.1402493,10.2100385 56.1399506,10.2098024 56.1400095,10.2100423 56.1403081,10.2096744 56.1403999,10.2097785 56.1405295)))",yes
"MULTIPOLYGON (((10.2107293 56.1403503,10.2104172 56.1404272,10.210492 56.1405213,10.210804 56.1404445,10.2107293 56.1403503)))",yes
"MULTIPOLYGON (((10.208264 56.1403489,10.2085264 56.1406862,10.2085345 56.1406843,10.2085568 56.1407129,10.208621 56.1406974,10.2085987 56.1406687,10.2086176 56.1406642,10.2084 56.1403844,10.2084656 56.1403686,10.2084208 56.140311,10.208264 56.1403489)))",yes
"MULTIPOLYGON (((10.2088148 56.1412892,10.209462 56.1421224,10.2099978 56.1419932,10.2099008 56.1418684,10.2099986 56.1418449,10.2098579 56.1416638,10.209842 56.1416676,10.2098328 56.1416558,10.2098847 56.1416433,10.2099101 56.141676,10.2101399 56.1416206,10.2098608 56.1412489,10.2094987 56.1413326,10.2093565 56.1411577,10.2088148 56.1412892)))",yes
"MULTIPOLYGON (((10.2093057 56.1406259,10.2092574 56.1405732,10.2091729 56.1405375,10.209069 56.1405257,10.2089661 56.1405402,10.2088847 56.1405781,10.2088409 56.140632,10.2088434 56.1406911,10.2088917 56.1407438,10.2089762 56.1407795,10.2090802 56.1407913,10.2091831 56.1407768,10.2092645 56.1407389,10.2093082 56.140685,10.2093057 56.1406259)))",storage_tank
"MULTIPOLYGON (((10.209012 56.1402468,10.2089637 56.1401941,10.2088792 56.1401583,10.2087752 56.1401465,10.2086723 56.140161,10.2085909 56.140199,10.2085471 56.1402528,10.2085496 56.140312,10.2085979 56.1403646,10.2086824 56.1404004,10.2087864 56.1404122,10.2088893 56.1403977,10.2089707 56.1403597,10.2090145 56.1403059,10.209012 56.1402468)))",storage_tank
"MULTIPOLYGON (((10.2113923 56.1406549,10.2112918 56.1405293,10.211167 56.1405589,10.2111181 56.1405006,10.2109853 56.1405316,10.2109518 56.1404935,10.2106225 56.1405753,10.2106534 56.1406145,10.2107493 56.140594,10.2108371 56.1407008,10.2110819 56.1406422,10.2111436 56.1407169,10.2113923 56.1406549)))",yes
